user_id,product_id,rating,rating_score,timestamp
AFWTGD4FCS2E2U2TDCOEOGP2FWEA,B097R3XH9R,4.0,Above Average,964982703
AGPQHMB6XWAURLOJA57DPCU4HQ7A,B097R3XH9R,4.0,Above Average,847434962
AFC4X5UHL2LN4PBS2TWOMIZ2GHAQ,B097R3XH9R,4.5,Above Average,1106635946
AFK6D62HRZSHP5W3DE5QGYUYJQEA,B097R3XH9R,2.5,Below Average,1510577970
AHQ7LIIQZN6O7YA3EYZ7SV2RIYFQ,B097R3XH9R,4.5,Above Average,1305696483
AHFXBNDCOX7XWOQ3AG6PTK6LOF2A,B097R3XH9R,3.5,Average,1455209816
AF5ZRMB3EOZXTXOOBVEVJTGZ2XFA,B097R3XH9R,4.0,Above Average,965705637
AFLU4N3XW4NR5F76OYE32MFHFNDQ,B097R3XH9R,3.5,Average,1407618878
AGJ7O6CXXXUN72WOV5JID7X7ZBMQ,B097R3XH9R,3.0,Average,962685262
AGPJ54XLGYPWACFVEJ2KWYJYREZQ,B097R3XH9R,5.0,Excellent,850466616
AGPBIM77CMHJZPR4GROXSNK3GOFA,B097R3XH9R,3.0,Average,856736119
AGC6NVLEXXVXAOMXP46RL2622EBA,B097R3XH9R,3.0,Average,939647444
AGOUFAD56YMVQOAFUWLW3XFVWX4Q,B097R3XH9R,5.0,Excellent,832058959
AGPBZBEFPFL64PWRZX32JSZUHDMA,B097R3XH9R,5.0,Excellent,848993983
AGLQGHCAPA45C7LFUS257GLOBJIQ,B097R3XH9R,3.0,Average,869251860
AF4R7KKPJVNKJC5D3CWKKX2JZAHQ,B097R3XH9R,4.0,Above Average,951170182
AGPIXFD7PBE4NDKHEUNQ4FBFT4LQ,B097R3XH9R,5.0,Excellent,834787906
AH6XUPCGCWOG63XDNA4PRPWFX4XA,B097R3XH9R,3.0,Average,1514238116
AGM2WOYSDILMC2GKYLGXCRGBJ6HA,B097R3XH9R,3.0,Average,830247330
AGWO67H5CHGZF5AAAUAD5QQCZODQ,B097R3XH9R,5.0,Excellent,965796031
AHWVJOF4IVRKFY6RJRSBQ2L6ZXQA,B097R3XH9R,5.0,Excellent,1443199669
AHWQSD5JHCOHW7JYN7F52ABQCJQA,B097R3XH9R,4.0,Above Average,1161520134
AGGXWYRLPMULBPR7OXPEV6SNOMIQ,B097R3XH9R,4.0,Above Average,1104643957
AG36G3XPHERLKRDG7XYQ2IWJWPIQ,B097R3XH9R,2.5,Below Average,1158531426
AGM6EGKUOFBXPCJTFFF2NIGJO3UQ,B097R3XH9R,5.0,Excellent,864737933
AFZSMXS2MILXOSTT2ZEJDE3W7TLQ,B097R3XH9R,4.5,Above Average,1464196374
AEMKH7NSGFU5YGYOC54RHG54WHXQ,B097R3XH9R,0.5,Poor,1439165548
AGQ7ATXOIGSUWEFDGJLYRLPICJRA,B097R3XH9R,4.0,Above Average,1252575124
AEZPNXZLF5U7XEX6TOW3J56C3XDA,B097R3XH9R,2.5,Below Average,1084467729
AGQ33PJLVCO67H7X7FFQPI3WIXWQ,B097R3XH9R,4.0,Above Average,1344082549
AFC3FFC5PKFF5PMA52S3VCHOZ5FQ,B097R3XH9R,3.0,Average,1520408314
AGKZ6TKG3664GMINDWMYRVKX6JYQ,B097R3XH9R,3.0,Average,856353996
AG5G6IU6RDTR24OHO3LSE24JCVEQ,B097R3XH9R,4.0,Above Average,1112713037
AGPBPLV5X666GMBRNJCVLJNNH64A,B097R3XH9R,3.0,Average,942767337
